,taxon_link,taxon_oid,added,accessed,retrieved,filename,download_link,download_date,error,warning,error_msg,warning_msg
58,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=643692030,643692030,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
59,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2728369219,2728369219,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
60,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2721755294,2721755294,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
61,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2708742856,2708742856,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
62,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2708743063,2708743063,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
63,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2667528167,2667528167,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
64,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2597489917,2597489917,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
65,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2597490378,2597490378,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
66,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2757320715,2757320715,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
67,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2708742655,2708742655,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
68,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2681812969,2681812969,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
69,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=637000115,637000115,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
70,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2636415561,2636415561,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
71,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2731957593,2731957593,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
72,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2687453517,2687453517,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
73,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=646311950,646311950,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
74,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=643692018,643692018,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
75,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2731957505,2731957505,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
76,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2758568022,2758568022,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
77,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2639762975,2639762975,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
78,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=643348509,643348509,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
79,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2600254900,2600254900,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
80,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2684622995,2684622995,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
81,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2681813554,2681813554,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
82,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2728369274,2728369274,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
83,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2636415982,2636415982,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
84,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2721755458,2721755458,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
85,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2524614800,2524614800,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
86,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2728369266,2728369266,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
87,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2700988711,2700988711,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
88,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=646564588,646564588,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
89,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2596583572,2596583572,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
90,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=639633060,639633060,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
91,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=646311931,646311931,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
92,main.cgi?section=TaxonDetail&page=taxonDetail&taxon_oid=2690315877,2690315877,2018-03-21 18:19:08.093248,0,0,,,,0,0,,
